Entity,trait,label,description,comments,trait_type,allowed_values_min,allowed_values_max,units,constraints,trait_groupings,structure_measured,characteristic_measured,keywords,references,reviewers,created,modified,exact_match,close_match,related_match,examples,description_encoded,deprecated_trait_name,identifier,inScheme
https://w3id.org/APD/traits/trait_0000030,leaf_K_per_dry_mass,Leaf potassium (K) content per unit leaf dry mass,The ratio of the mass of potassium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],0.1,100,mg/g,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; mass fraction [ECSO_00000619]; ratio; proportion [PATO_0001470],potassium atom [CHEBI_26216]; macronutrient [CHEBI_33937],NA,NA,14/07/2021,05/02/2024,leaf potassium content [http://purl.obolibrary.org/obo/TO_0003049],NA,NA,exact match: Leaf potassium content per leaf dry mass [TOP464] (https://top-thesaurus.org/index); exact match: Leaf potassium (K) content per leaf dry mass [TRY:44] (https://www.try-db.org/de/de.php),The ratio [PATO:0001470] of the mass [PATO:0000125] of potassium [CHEBI:26216] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,NA,trait_0000030,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000032,leaf_Mg_per_dry_mass,Leaf magnesium (Mg) content per unit leaf dry mass,The ratio of the mass of magnesium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],0.01,10000,mg/g,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; mass fraction [ECSO_00000619]; ratio; proportion [PATO_0001470],magnesium atom [CHEBI_25107]; micronutrient [CHEBI_27027],NA,NA,14/07/2021,05/02/2024,NA,NA,NA,exact match: Leaf magnesium content per leaf dry mass [TOP457] (https://top-thesaurus.org/index); exact match: Leaf magnesium (Mg) content per leaf dry mass [TRY:257] (https://www.try-db.org/de/de.php),The ratio [PATO:0001470] of the mass [PATO:0000125] of magnesium [CHEBI:25107] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,NA,trait_0000032,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000034,leaf_Mn_per_dry_mass,Leaf manganese (Mn) content per unit leaf dry mass,The ratio of the mass of manganese in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],1,20000,mg/kg,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; mass fraction [ECSO_00000619]; ratio; proportion [PATO_0001470],manganese atom [CHEBI_18291]; micronutrient [CHEBI_27027],NA,NA,14/07/2021,05/02/2024,NA,NA,NA,exact match: Leaf manganese content per leaf dry mass [TOP458] (https://top-thesaurus.org/index); exact match: Leaf manganese (Mn) content per leaf dry mass [TRY:258] (https://www.try-db.org/de/de.php),The ratio [PATO:0001470] of the mass [PATO:0000125] of manganese [CHEBI:18291] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,NA,trait_0000034,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000036,leaf_Mo_per_dry_mass,Leaf molybdenum (Mo) content per unit leaf dry mass,The ratio of the mass of molybdenum in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],0,100,mg/kg,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; mass fraction [ECSO_00000619]; ratio; proportion [PATO_0001470],molybdenum atom [CHEBI_28685]; micronutrient [CHEBI_27027],NA,NA,14/07/2021,05/02/2024,NA,NA,NA,exact match: Leaf molybdenum content per leaf dry mass [TOP459] (https://top-thesaurus.org/index); exact match: Leaf molybdenum (Mo) content per leaf dry mass [TRY:259] (https://www.try-db.org/de/de.php),The ratio [PATO:0001470] of the mass [PATO:0000125] of molybdenum [CHEBI:28685] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,NA,trait_0000036,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000037,leaf_N_per_area,Leaf nitrogen (N) content per unit leaf area,The ratio of the mass of nitrogen in a leaf to leaf area.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],0.15,50,g/m2,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; per unit area [EnvThes:22003]; ratio; proportion [PATO_0001470],nitrogen atom [CHEBI_25555]; macronutrient [CHEBI_33937],NA,NA,14/07/2021,05/02/2024,Leaf nitrogen content [https://cropontology.org/rdf/CO_357:0000159]; leaf nitrogen content [http://purl.obolibrary.org/obo/TO_0000543]; leaf nitrogen concentration [http://vocabs.lter-europe.net/EnvThes/22160],NA,NA,exact match: Leaf nitrogen content per leaf area [TOP481] (https://top-thesaurus.org/index); exact match: Leaf nitrogen (N) content per leaf area [TRY:50] (https://www.try-db.org/de/de.php); exact match: leaf nitrogen content per leaf area [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in a leaf [PO:0025034] to leaf area [PATO:0001323].,NA,trait_0000037,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000038,leaf_N_per_dry_mass,Leaf nitrogen (N) content per unit leaf dry mass,The ratio of the mass of nitrogen in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],0.5,100,mg/g,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; mass fraction [ECSO_00000619]; ratio; proportion [PATO_0001470],nitrogen atom [CHEBI_25555]; macronutrient [CHEBI_33937],NA,NA,14/07/2021,05/02/2024,Leaf nitrogen content [https://cropontology.org/rdf/CO_357:0000159]; leaf nitrogen content [http://purl.obolibrary.org/obo/TO_0000543]; leaf nitrogen concentration [http://vocabs.lter-europe.net/EnvThes/22160],NA,NA,exact match: Leaf nitrogen content per leaf dry mass [TOP462] (https://top-thesaurus.org/index); exact match: Leaf nitrogen (N) content per leaf dry mass [TRY:14] (https://www.try-db.org/de/de.php); exact match: leaf nitrogen content per leaf dry mass [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata); exact match: Mass-based leaf nitrogen content [BROT:7] (http://doi.org/10.1038/sdata.2018.135),The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,NA,trait_0000038,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000040,leaf_Na_per_dry_mass,Leaf sodium (Na) content per unit leaf dry mass,The ratio of the mass of sodium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],1,20000,mg/kg,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; mass fraction [ECSO_00000619]; ratio; proportion [PATO_0001470],sodium atom [CHEBI_26708]; micronutrient [CHEBI_27027],NA,NA,14/07/2021,05/02/2024,NA,NA,NA,exact match: Leaf sodium content per leaf dry mass [TOP460] (https://top-thesaurus.org/index); exact match: Leaf sodium (Na) content per leaf dry mass [TRY:260] (https://www.try-db.org/de/de.php),The ratio [PATO:0001470] of the mass [PATO:0000125] of sodium [CHEBI:26708] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,NA,trait_0000040,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000042,leaf_Ni_per_dry_mass,Leaf nickel (Ni) content per unit leaf dry mass,The ratio of the mass of nickel in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],0.1,100,mg/kg,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; mass fraction [ECSO_00000619]; ratio; proportion [PATO_0001470],nickel atom [CHEBI_28112],NA,NA,14/07/2021,05/02/2024,NA,NA,NA,exact match: Leaf nickel content per leaf dry mass [TOP461] (https://top-thesaurus.org/index); exact match: Leaf nickel (Ni) content per leaf dry mass [TRY:261] (https://www.try-db.org/de/de.php),The ratio [PATO:0001470] of the mass [PATO:0000125] of nickel [CHEBI:28112] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,NA,trait_0000042,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000043,leaf_P_per_area,Leaf phosphorus (P) content per unit leaf area,The ratio of the mass of phosphorus in a leaf to leaf area.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],0.005,1.2,g/m2,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; per unit area [EnvThes:22003]; ratio; proportion [PATO_0001470],phosphorus atom [CHEBI_28659]; macronutrient [CHEBI_33937],NA,NA,14/07/2021,05/02/2024,leaf phosphorus content [http://purl.obolibrary.org/obo/TO_0001025],NA,NA,exact match: Leaf phosphorus content per leaf area [TOP482] (https://top-thesaurus.org/index); exact match: Leaf phosphorus (P) content per leaf area [TRY:51] (https://www.try-db.org/de/de.php); exact match: leaf phosphorus content per leaf area [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in a leaf [PO:0025034] to leaf area [PATO:0001323].,NA,trait_0000043,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000044,leaf_P_per_dry_mass,Leaf phosphorus (P) content per unit leaf dry mass,The ratio of the mass of phosphorus in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],0.03,12,mg/g,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; mass fraction [ECSO_00000619]; ratio; proportion [PATO_0001470],phosphorus atom [CHEBI_28659]; macronutrient [CHEBI_33937],NA,NA,14/07/2021,05/02/2024,leaf phosphorus content [http://purl.obolibrary.org/obo/TO_0001025],NA,NA,exact match: Leaf phosphorus content per leaf dry mass [TOP463] (https://top-thesaurus.org/index); exact match: Leaf phosphorus (P) content per leaf dry mass [TRY:15] (https://www.try-db.org/de/de.php); exact match: leaf phosphorus content per leaf dry mass [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,NA,trait_0000044,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000046,leaf_S_per_dry_mass,Leaf sulphur (S) content per unit leaf dry mass,The ratio of the mass of sulphur in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],50,50000,mg/kg,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; mass fraction [ECSO_00000619]; ratio; proportion [PATO_0001470],sulfur atom [CHEBI_26833]; micronutrient [CHEBI_27027],NA,NA,14/07/2021,05/02/2024,NA,NA,NA,exact match: Leaf sulfur content per leaf dry mass [TOP466] (https://top-thesaurus.org/index); exact match: Leaf sulfur (S) content per leaf dry mass [TRY:262] (https://www.try-db.org/de/de.php),The ratio [PATO:0001470] of the mass [PATO:0000125] of sulphur [CHEBI:26833] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,NA,trait_0000046,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000048,leaf_Se_per_dry_mass,Leaf selenium (Se) content per unit leaf dry mass,The ratio of the mass of selenium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],0.01,100,ppm,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; mass fraction [ECSO_00000619]; ratio; proportion [PATO_0001470],selenium atom [CHEBI_27568],NA,NA,14/07/2021,05/02/2024,NA,NA,NA,exact match: Leaf selenium (Se) content per leaf dry mass [TRY:263] (https://www.try-db.org/de/de.php),The ratio [PATO:0001470] of the mass [PATO:0000125] of selenium [CHEBI:27568] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,NA,trait_0000048,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000050,leaf_Si_per_dry_mass,Leaf silicon (Si) content per unit leaf dry mass,The ratio of the mass of silicon in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades. Leaf silicon (Si) must not be confused with leaf silica (SiO2). In plants, Si is mostly found as hydrated amorphous silica (SiO2 , nH2O).",continuous variable [STATO_0000251],0.01,200,mg/g,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; mass fraction [ECSO_00000619]; ratio; proportion [PATO_0001470],silicon atom [CHEBI_27573],Cooke & Leishman 2011 [https://doi.org/10.1016/j.tplants.2010.10.003]; de Tombeur 2023 [https://doi.org/10.1016/j.tree.2022.11.002],Félix de Tombeur [https://orcid.org/0000-0002-6012-8458],14/07/2021,05/02/2024,NA,NA,NA,exact match: Leaf silicon content per leaf dry mass [TOP465] (https://top-thesaurus.org/index); exact match: Leaf silicon (Si) content per leaf dry mass [TRY:264] (https://www.try-db.org/de/de.php),The ratio [PATO:0001470] of the mass [PATO:0000125] of silicon [CHEBI:27573] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,NA,trait_0000050,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000052,leaf_Zn_per_dry_mass,Leaf zinc (Zn) content per unit leaf dry mass,The ratio of the mass of zinc in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],0.1,1000,mg/kg,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; mass fraction [ECSO_00000619]; ratio; proportion [PATO_0001470],zinc atom [CHEBI_27363]; micronutrient [CHEBI_27027],NA,NA,14/07/2021,05/02/2024,NA,NA,NA,exact match: Leaf zinc content per leaf dry mass [TOP467] (https://top-thesaurus.org/index); exact match: Leaf zinc (Zn) content per leaf dry mass [TRY:268] (https://www.try-db.org/de/de.php),The ratio [PATO:0001470] of the mass [PATO:0000125] of zinc [CHEBI:27363] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,NA,trait_0000052,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000090,leaf_CN_ratio,Leaf carbon to nitrogen ratio  (C/N),The ratio of the mass of carbon in a leaf to the mass of nitrogen in the leaf.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],10,1000,g/g,none,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; dimensionless ratio [STATO_0000300]; ratio; proportion [PATO_0001470],carbon atom [CHEBI_27594]; macronutrient [CHEBI_33937]; nitrogen atom [CHEBI_25555],NA,NA,14/07/2021,05/02/2024,Ratio leaf nitrogen to leaf carbon [https://cropontology.org/rdf/CO_357:0000287]; C/N [https://cropontology.org/rdf/CO_357:0000512],NA,NA,exact match: Leaf carbon/nitrogen (C/N) ratio [TRY:146] (https://www.try-db.org/de/de.php); exact match: leaf carbon content per leaf nitrogen content [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),The ratio [PATO:0001470] of the mass [PATO:0000125] of carbon [CHEBI:27594] in a leaf [PO:0025034] to the mass of nitrogen [CHEBI:25555] in the leaf.,NA,trait_0000090,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000091,leaf_NP_ratio,Leaf nitrogen to phosphorus ratio (N/P) per unit leaf dry mass,The ratio of the mass of nitrogen in a leaf to the mass of phosphorus in the leaf.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],1,100,g/g,NA,live leaf mineral and ion content trait [trait_group_0000008],leaf [PO_0025034],mass [PATO_0000125]; dimensionless ratio [STATO_0000300]; ratio; proportion [PATO_0001470],nitrogen atom [CHEBI_25555]; macronutrient [CHEBI_33937]; phosphorus atom [CHEBI_28659],NA,NA,14/07/2021,05/02/2024,NA,NA,NA,exact match: Leaf nitrogen/phosphorus (N/P) ratio [TRY:56] (https://www.try-db.org/de/de.php),The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in a leaf [PO:0025034] to the mass of phosphorus [CHEBI:28659] in the leaf.,N_to_P_ratio,trait_0000091,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000112,leaf_senesced_Al_per_dry_mass,Senesced leaf aluminium (Al) content per unit leaf dry mass,The ratio of the mass of aluminium in a senescent leaf (leaf litter) to the senescent leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",continuous variable [STATO_0000251],0.01,10,mg/g,NA,senesced leaf mineral and ion content trait [trait_group_0000108],leaf [PO_0025034],mass [PATO_0000125]; mass fraction [ECSO_00000619]; ratio; proportion [PATO_0001470],aluminium atom [CHEBI_28984]; senescent [PATO_0001487]; plant litter [ENVO_01000628],NA,NA,14/07/2021,05/02/2024,NA,NA,NA,exact match: Litter aluminium content per litter dry mass [TOP583] (https://top-thesaurus.org/index); exact match: Litter aluminium (Al ) content per litter dry mass [TRY:987] (https://www.try-db.org/de/de.php),The ratio [PATO:0001470] of the mass [PATO:0000125] of aluminium [CHEBI:28984] in a senescent [PATO:0001487] leaf [PO:0025034] (leaf litter [ENVO:01000628]) to the senescent leaf dry mass [TO:0001014].,senesced_leaf_Al_per_dry_mass,trait_0000112,https://w3id.org/APD
