Entity,trait,label,description,comments,trait_type,allowed_values_min,allowed_values_max,units,allowed_values_levels,categorical_trait_description,categorical_trait_synonyms,constraints,trait_groupings,structure_measured,characteristic_measured,keywords,references,reviewers,created,reviewed,deprecated_trait_name,exact_match,close_match,related_match,description_encoded,identifier,categorical_trait_identifier,inScheme
https://w3id.org/APD/traits/trait_0000030,leaf_K_per_dry_mass,Leaf potassium (K) content per unit leaf dry mass,The ratio of the mass of potassium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.1,100,mg/g,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,potassium atom; macronutrient,,,14/07/2021,,,Leaf potassium content per leaf dry mass [TOP464] (https://top-thesaurus.org/index); Leaf potassium (K) content per leaf dry mass [TRY:44] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of potassium [CHEBI:26216] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000030,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000032,leaf_Mg_per_dry_mass,Leaf magnesium (Mg) content per unit leaf dry mass,The ratio of the mass of magnesium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.01,10000,mg/g,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,magnesium atom; micronutrient,,,14/07/2021,,,Leaf magnesium content per leaf dry mass [TOP457] (https://top-thesaurus.org/index); Leaf magnesium (Mg) content per leaf dry mass [TRY:257] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of magnesium [CHEBI:25107] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000032,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000034,leaf_Mn_per_dry_mass,Leaf manganese (Mn) content per unit leaf dry mass,The ratio of the mass of manganese in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,1,20000,mg/kg,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,manganese atom; micronutrient,,,14/07/2021,,,Leaf manganese content per leaf dry mass [TOP458] (https://top-thesaurus.org/index); Leaf manganese (Mn) content per leaf dry mass [TRY:258] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of manganese [CHEBI:18291] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000034,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000036,leaf_Mo_per_dry_mass,Leaf molybdenum (Mo) content per unit leaf dry mass,The ratio of the mass of molybdenum in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0,100,mg/kg,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,molybdenum atom; micronutrient,,,14/07/2021,,,Leaf molybdenum content per leaf dry mass [TOP459] (https://top-thesaurus.org/index); Leaf molybdenum (Mo) content per leaf dry mass [TRY:259] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of molybdenum [CHEBI:28685] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000036,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000037,leaf_N_per_area,Leaf nitrogen (N) content per unit leaf area,The ratio of the mass of nitrogen in a leaf to leaf area.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.15,50,g/m2,,,,none,live leaf mineral and ion content trait,leaf,mass; per unit area; ratio; proportion,nitrogen atom; macronutrient,,,14/07/2021,,,Leaf nitrogen content per leaf area [TOP481] (https://top-thesaurus.org/index); Leaf nitrogen (N) content per leaf area [TRY:50] (https://www.try-db.org/de/de.php); leaf nitrogen content per leaf area [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in a leaf [PO:0025034] to leaf area [PATO:0001323].,trait_0000037,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000038,leaf_N_per_dry_mass,Leaf nitrogen (N) content per unit leaf dry mass,The ratio of the mass of nitrogen in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.5,100,mg/g,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,nitrogen atom; macronutrient,,,14/07/2021,,,Leaf nitrogen content per leaf dry mass [TOP462] (https://top-thesaurus.org/index); Leaf nitrogen (N) content per leaf dry mass [TRY:14] (https://www.try-db.org/de/de.php); leaf nitrogen content per leaf dry mass [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata); Mass-based leaf nitrogen content [BROT:7] (http://doi.org/10.1038/sdata.2018.135),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000038,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000040,leaf_Na_per_dry_mass,Leaf sodium (Na) content per unit leaf dry mass,The ratio of the mass of sodium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,1,20000,mg/kg,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,sodium atom; micronutrient,,,14/07/2021,,,Leaf sodium content per leaf dry mass [TOP460] (https://top-thesaurus.org/index); Leaf sodium (Na) content per leaf dry mass [TRY:260] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of sodium [CHEBI:26708] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000040,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000042,leaf_Ni_per_dry_mass,Leaf nickel (Ni) content per unit leaf dry mass,The ratio of the mass of nickel in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.1,100,mg/kg,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,nickel atom,,,14/07/2021,,,Leaf nickel content per leaf dry mass [TOP461] (https://top-thesaurus.org/index); Leaf nickel (Ni) content per leaf dry mass [TRY:261] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of nickel [CHEBI:28112] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000042,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000043,leaf_P_per_area,Leaf phosphorus (P) content per unit leaf area,The ratio of the mass of phosphorus in a leaf to leaf area.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.005,1.2,g/m2,,,,none,live leaf mineral and ion content trait,leaf,mass; per unit area; ratio; proportion,phosphorus atom; macronutrient,,,14/07/2021,,,Leaf phosphorus content per leaf area [TOP482] (https://top-thesaurus.org/index); Leaf phosphorus (P) content per leaf area [TRY:51] (https://www.try-db.org/de/de.php); leaf phosphorus content per leaf area [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in a leaf [PO:0025034] to leaf area [PATO:0001323].,trait_0000043,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000044,leaf_P_per_dry_mass,Leaf phosphorus (P) content per unit leaf dry mass,The ratio of the mass of phosphorus in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.03,12,mg/g,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,phosphorus atom; macronutrient,,,14/07/2021,,,Leaf phosphorus content per leaf dry mass [TOP463] (https://top-thesaurus.org/index); Leaf phosphorus (P) content per leaf dry mass [TRY:15] (https://www.try-db.org/de/de.php); leaf phosphorus content per leaf dry mass [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000044,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000046,leaf_S_per_dry_mass,Leaf sulphur (S) content per unit leaf dry mass,The ratio of the mass of sulphur in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,50,50000,mg/kg,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,sulfur atom; micronutrient,,,14/07/2021,,,Leaf sulfur content per leaf dry mass [TOP466] (https://top-thesaurus.org/index); Leaf sulfur (S) content per leaf dry mass [TRY:262] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of sulphur [CHEBI:26833] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000046,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000048,leaf_Se_per_dry_mass,Leaf selenium (Se) content per unit leaf dry mass,The ratio of the mass of selenium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.01,100,ppm,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,selenium atom,,,14/07/2021,,,Leaf selenium (Se) content per leaf dry mass [TRY:263] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of selenium [CHEBI:27568] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000048,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000050,leaf_Si_per_dry_mass,Leaf silicon (Si) content per unit leaf dry mass,The ratio of the mass of silicon in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades. Leaf silicon (Si) must not be confused with leaf silica (SiO2). In plants, Si is mostly found as hydrated amorphous silica (SiO2 , nH2O).",numeric,0.01,200,mg/g,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,silicon atom,Cooke & Leishman 2011 (https://doi.org/10.1016/j.tplants.2010.10.003); de Tombeur 2023 (https://doi.org/10.1016/j.tree.2022.11.002),Félix de Tombeur (https://orcid.org/0000-0002-6012-8458),14/07/2021,13/02/2023,,Leaf silicon content per leaf dry mass [TOP465] (https://top-thesaurus.org/index); Leaf silicon (Si) content per leaf dry mass [TRY:264] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of silicon [CHEBI:27573] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000050,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000052,leaf_Zn_per_dry_mass,Leaf zinc (Zn) content per unit leaf dry mass,The ratio of the mass of zinc in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.1,1000,mg/kg,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,zinc atom; micronutrient,,,14/07/2021,,,Leaf zinc content per leaf dry mass [TOP467] (https://top-thesaurus.org/index); Leaf zinc (Zn) content per leaf dry mass [TRY:268] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of zinc [CHEBI:27363] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000052,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000090,leaf_CN_ratio,Leaf carbon to nitrogen ratio  (C/N),The ratio of the mass of carbon in a leaf to the mass of nitrogen in the leaf.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,10,1000,g/g,,,,none,live leaf mineral and ion content trait,leaf,mass; dimensionless ratio; ratio; proportion,carbon atom; macronutrient; nitrogen atom,,,14/07/2021,,,Leaf carbon/nitrogen (C/N) ratio [TRY:146] (https://www.try-db.org/de/de.php); leaf carbon content per leaf nitrogen content [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of carbon [CHEBI:27594] in a leaf [PO:0025034] to the mass of nitrogen [CHEBI:25555] in the leaf.,trait_0000090,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000091,leaf_NP_ratio,Leaf nitrogen to phosphorus ratio (N/P) per unit leaf dry mass,The ratio of the mass of nitrogen in a leaf to the mass of phosphorus in the leaf.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,1,100,g/g,,,,,live leaf mineral and ion content trait,leaf,mass; dimensionless ratio; ratio; proportion,nitrogen atom; macronutrient; phosphorus atom,,,14/07/2021,,N_to_P_ratio,Leaf nitrogen/phosphorus (N/P) ratio [TRY:56] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in a leaf [PO:0025034] to the mass of phosphorus [CHEBI:28659] in the leaf.,trait_0000091,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000112,leaf_senesced_Al_per_dry_mass,Senesced leaf aluminium (Al) content per unit leaf dry mass,The ratio of the mass of aluminium in a senescent leaf (leaf litter) to the senescent leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.01,10,mg/g,,,,,senesced leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,aluminium atom; senescent; plant litter,,,14/07/2021,,senesced_leaf_Al_per_dry_mass,Litter aluminium content per litter dry mass [TOP583] (https://top-thesaurus.org/index); Litter aluminium (Al ) content per litter dry mass [TRY:987] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of aluminium [CHEBI:28984] in a senescent [PATO:0001487] leaf [PO:0025034] (leaf litter [ENVO:01000628]) to the senescent leaf dry mass [TO:0001014].,trait_0000112,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000114,leaf_senesced_B_per_dry_mass,Senesced leaf boron (B) content per unit leaf dry mass,The ratio of the mass of boron in a senescent leaf (leaf litter) to the senescent leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.001,10,mg/g,,,,,senesced leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,boron atom; senescent; micronutrient; plant litter,,,14/07/2021,,senesced_leaf_B_per_dry_mass,Litter boron content per litter dry mass [TOP584] (https://top-thesaurus.org/index),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of boron [CHEBI:27560] in a senescent [PATO:0001487] leaf [PO:0025034] (leaf litter [ENVO:01000628]) to the senescent leaf dry mass [TO:0001014].,trait_0000114,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000116,leaf_senesced_C_per_dry_mass,Senesced leaf carbon (C) content per unit leaf dry mass,The ratio of the mass of carbon in a senescent leaf (leaf litter) to the senescent leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.1,1,g/g,,,,,senesced leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,carbon atom; senescent; plant litter,,,14/07/2021,,senesced_leaf_C_per_dry_mass,Litter carbon content per litter dry mass [TOP586] (https://top-thesaurus.org/index); Litter carbon (C) content per litter dry mass [TRY:72] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of carbon [CHEBI:27594] in a senescent [PATO:0001487] leaf [PO:0025034] (leaf litter [ENVO:01000628]) to the senescent leaf dry mass [TO:0001014].,trait_0000116,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000118,leaf_senesced_Ca_per_dry_mass,Senesced leaf calcium (Ca) content per unit leaf dry mass,The ratio of the mass of calcium in a senescent leaf (leaf litter) to the senescent leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.01,1000,mg/g,,,,,senesced leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,calcium atom; senescent; micronutrient; plant litter,,,14/07/2021,,senesced_leaf_Ca_per_dry_mass,Litter calcium content per litter dry mass [TOP585] (https://top-thesaurus.org/index); Litter (leaf) calcium (Ca) content per leaf litter dry mass [TRY:943] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in a senescent [PATO:0001487] leaf [PO:0025034] (leaf litter [ENVO:01000628]) to the senescent leaf dry mass [TO:0001014].,trait_0000118,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000126,leaf_senesced_Cu_per_dry_mass,Senesced leaf copper (Cu) content per unit leaf dry mass,The ratio of the mass of copper in a senescent leaf (leaf litter) to the senescent leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.01,100,mg/kg,,,,,senesced leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,copper atom; senescent; micronutrient; plant litter,,,14/07/2021,,senesced_leaf_Cu_per_dry_mass,Litter copper content per litter dry mass [TOP589] (https://top-thesaurus.org/index); Litter (leaf) copper (Cu) content per leaf litter dry mass [TRY:947] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of copper [CHEBI:28694] in a senescent [PATO:0001487] leaf [PO:0025034] (leaf litter [ENVO:01000628]) to the senescent leaf dry mass [TO:0001014].,trait_0000126,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000128,leaf_senesced_Fe_per_dry_mass,Senesced leaf iron (Fe) content per unit leaf dry mass,The ratio of the mass of iron in a senescent leaf (leaf litter) to the senescent leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,1,10000,mg/kg,,,,,senesced leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,iron atom; senescent; micronutrient; plant litter,,,14/07/2021,,senesced_leaf_Fe_per_dry_mass,Litter iron content per litter dry mass [TOP590] (https://top-thesaurus.org/index); Litter (leaf) iron (Fe) content per leaf litter dry mass [TRY:950] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of iron [CHEBI:18248] in a senescent [PATO:0001487] leaf [PO:0025034] (leaf litter [ENVO:01000628]) to the senescent leaf dry mass [TO:0001014].,trait_0000128,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000130,leaf_senesced_K_per_dry_mass,Senesced leaf potassium (K) content per unit leaf dry mass,The ratio of the mass of potassium in a senescent leaf (leaf litter) to the senescent leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.1,100,mg/g,,,,,senesced leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,potassium atom; senescent; macronutrient; plant litter,,,14/07/2021,,senesced_leaf_K_per_dry_mass,Litter potassium content per litter dry mass [TOP598] (https://top-thesaurus.org/index); Litter (leaf) potassium (K) content per leaf litter dry mass [TRY:958] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of potassium [CHEBI:26216] in a senescent [PATO:0001487] leaf [PO:0025034] (leaf litter [ENVO:01000628]) to the senescent leaf dry mass [TO:0001014].,trait_0000130,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000132,leaf_senesced_Mg_per_dry_mass,Senesced leaf magnesium (Mg) content per unit leaf dry mass,The ratio of the mass of magnesium in a senescent leaf (leaf litter) to the senescent leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.01,100,mg/g,,,,,senesced leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,magnesium atom; senescent; micronutrient; plant litter,,,14/07/2021,,senesced_leaf_Mg_per_dry_mass,Litter magnesium content per litter dry mass [TOP591] (https://top-thesaurus.org/index); Litter (leaf) magnesium (Mg) content per leaf litter dry mass [TRY:952] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of magnesium [CHEBI:25107] in a senescent [PATO:0001487] leaf [PO:0025034] (leaf litter [ENVO:01000628]) to the senescent leaf dry mass [TO:0001014].,trait_0000132,,https://w3id.org/APD
