Subject,Predicate,Object
<http://doi.org/10.2307/2441319>,<http://purl.org/dc/terms/bibliographicCitation>,"""Hickey, Leo J.  Classification of the architecture of dicotyledonous leaves. *American Journal of Botany* 60(1): 17-33 (1973).""@en"
<http://doi.org/10.2307/2441319>,<http://purl.org/dc/terms/identifier>,"""doi:10.2307/2441319""^^[xsd:string]"
<http://doi.org/10.2307/2441319>,<http://purl.org/dc/terms/title>,"""Classification of the Architecture of Dicotyledonous Leaves""@en"
<http://doi.org/10.1111/jvs.12375>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Jiménez-Alfaro 2016""^^[xsd:string]"
<http://doi.org/10.1111/jvs.12375>,<http://purl.org/dc/terms/bibliographicCitation>,"""Jiménez-Alfaro, Borja, et al. Seed germination traits can contribute better to plant community ecology. *Journal of Vegetation Science* 27(3), 637-645 (2016).""@en"
<http://doi.org/10.1111/jvs.12375>,<http://purl.org/dc/terms/identifier>,"""doi:10.1111/jvs.12375""^^[xsd:string]"
<http://doi.org/10.1111/jvs.12375>,<http://purl.org/dc/terms/title>,"""Seed germination traits can contribute better to plant community ecology""@en"
<http://doi.org/10.1017/CBO9780511845727>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Jones 1992""^^[xsd:string]"
<http://doi.org/10.1017/CBO9780511845727>,<http://purl.org/dc/terms/bibliographicCitation>,"""Jones, H.  Plants and Microclimate, A Quantitative Approach to Environmental Plant Physiology. 3rd edn (Cambridge University Press, 2014).""@en"
<http://doi.org/10.1017/CBO9780511845727>,<http://purl.org/dc/terms/identifier>,"""doi:10.1017/CBO9780511845727""^^[xsd:string]"
<http://doi.org/10.1017/CBO9780511845727>,<http://purl.org/dc/terms/title>,"""Plants and Microclimate: A Quantitative Approach to Environmental Plant Physiology""@en"
<https://www.wiley.com/en-us/Water+Use+Efficiency+in+Plant+Biology-p-9781405149990>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Jones 2009""^^[xsd:string]"
<https://www.wiley.com/en-us/Water+Use+Efficiency+in+Plant+Biology-p-9781405149990>,<http://purl.org/dc/terms/bibliographicCitation>,"""Jones, Hamlyn G.  What Is Water Use Efficiency? *Water Use Efficiency in Plant Biology* (John Wiley & Sons, 2009).""@en"
<https://www.wiley.com/en-us/Water+Use+Efficiency+in+Plant+Biology-p-9781405149990>,<http://purl.org/dc/terms/identifier>,"""ISBN:978-1-405-14999-0""^^[xsd:string]"
<https://www.wiley.com/en-us/Water+Use+Efficiency+in+Plant+Biology-p-9781405149990>,<http://purl.org/dc/terms/title>,"""What is Water Use Efficiency?""@en"
<http://doi.org/10.1080/014311697216810>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Jurgens 1997""^^[xsd:string]"
<http://doi.org/10.1080/014311697216810>,<http://purl.org/dc/terms/bibliographicCitation>,"""Jurgens, C. The modified normalized difference vegetation index (mNDVI) a new index to determine frost damages in agriculture based on Landsat TM data. *International Journal of Remote Sensing* 18(17), 3583-3594 (1997).""@en"
<http://doi.org/10.1080/014311697216810>,<http://purl.org/dc/terms/identifier>,"""doi:10.1080/014311697216810""^^[xsd:string]"
<http://doi.org/10.1080/014311697216810>,<http://purl.org/dc/terms/title>,"""The modified normalized difference vegetation index (mNDVI) a new index to determine frost damages in agriculture based on Landsat TM data""@en"
<http://doi.org/10.1111/j.1365-2745.2007.01302.x>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Keith 2007""^^[xsd:string]"
<http://doi.org/10.1111/j.1365-2745.2007.01302.x>,<http://purl.org/dc/terms/bibliographicCitation>,"""Keith, David A., et al. Plant functional types can predict decade-scale changes in fire-prone vegetation. *Journal of Ecology* 95(6), 1324-1337 (2007).""@en"
<http://doi.org/10.1111/j.1365-2745.2007.01302.x>,<http://purl.org/dc/terms/identifier>,"""doi:10.1111/j.1365-2745.2007.01302.x""^^[xsd:string]"
<http://doi.org/10.1111/j.1365-2745.2007.01302.x>,<http://purl.org/dc/terms/title>,"""Plant functional types can predict decade-scale changes in fire-prone vegetation""@en"
<http://doi.org/10.1201/b10812>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Kirkham 2016""^^[xsd:string]"
<http://doi.org/10.1201/b10812>,<http://purl.org/dc/terms/bibliographicCitation>,"""Kirkham, Mary Beth. Elevated Carbon Dioxide: Impacts on Soil and Plant Water Relations (CRC Press, 2016).""@en"
<http://doi.org/10.1201/b10812>,<http://purl.org/dc/terms/identifier>,"""doi:10.1201/b10812""^^[xsd:string]"
<http://doi.org/10.1201/b10812>,<http://purl.org/dc/terms/title>,"""Elevated Carbon Dioxide: Impacts on Soil and Plant Water Relations""@en"
<http://doi.org/10.1038/s41597-019-0189-0>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Kissling 2019""^^[xsd:string]"
<http://doi.org/10.1038/s41597-019-0189-0>,<http://purl.org/dc/terms/bibliographicCitation>,"""Kissling, W. Daniel, et al. PalmTraits 1.0, a species-level functional trait database of palms worldwide. *Scientific Data* 6(1), 1-13 (2019).""@en"
<http://doi.org/10.1038/s41597-019-0189-0>,<http://purl.org/dc/terms/identifier>,"""doi:10.1038/s41597-019-0189-0""^^[xsd:string]"
<http://doi.org/10.1038/s41597-019-0189-0>,<http://purl.org/dc/terms/title>,"""PalmTraits 1.0, a species-level functional trait database of palms worldwide""@en"
<http://doi.org/10.4236/ajps.2013.45A005>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Lamont & Groom 2013""^^[xsd:string]"
<http://doi.org/10.4236/ajps.2013.45A005>,<http://purl.org/dc/terms/bibliographicCitation>,"""Lamont, Byron, and Philip Groom. Seeds as a source of carbon, nitrogen, and phosphorus for seedling establishment in temperate regions: a synthesis. *American Journal of Plant Sciences* 4(5A), 30-40 (2013).""@en"
<http://doi.org/10.4236/ajps.2013.45A005>,<http://purl.org/dc/terms/identifier>,"""doi:10.4236/ajps.2013.45A005""^^[xsd:string]"
<http://doi.org/10.4236/ajps.2013.45A005>,<http://purl.org/dc/terms/title>,"""Seeds as a Source of Carbon, Nitrogen, and Phosphorus for Seedling Establishment in Temperate Regions: A Synthesis""@en"
<http://doi.org/10.1111/1365-2745.12035>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Lawes 2013""^^[xsd:string]"
<http://doi.org/10.1111/1365-2745.12035>,<http://purl.org/dc/terms/bibliographicCitation>,"""Lawes, Michael J., Jeremy J. Midgley, and Peter J. Clarke. Costs and benefits of relative bark thickness in relation to fire damage: a savanna/forest contrast. *Journal of Ecology* 101(2), 517-524 (2013).""@en"
<http://doi.org/10.1111/1365-2745.12035>,<http://purl.org/dc/terms/identifier>,"""doi:10.1111/1365-2745.12035""^^[xsd:string]"
