identifier,trait,label,description_encoded,description,comments,inScheme,type,type_x,min,max,units,units_UCUM,units_uom,category_1,category_2,category_3,category_4,created,modified,deprecated_trait_name,constraints,structure_1,structure_2,structure_3,structure_4,meas_char_1,meas_char_2,meas_char_3,meas_char_4,meas_char_5,meas_char_6,rev_01,rev_02,rev_03,rev_04,rev_05,rev_06,rev_07,rev_08,rev_09,rev_10,ref_1,ref_2,ref_3,ref_4,ref_5,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10,exact_other1,close_other1,close_other2,related_other,exact_TOP,close_TOP,related_TOP,related_TOP2,exact_TRY,close_TRY,related_TRY,exact_LEDA,close_LEDA,related_LEDA,exact_GIFT,close_GIFT,related_GIFT,exact_BIEN,close_BIEN,related_BIEN,exact_BROT,close_BROT,related_BROT,PalmTraits_exact,PalmTraits_close,traitID
APD/0000030,leaf_K_per_dry_mass,Leaf potassium (K) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of potassium [CHEBI:26216] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,100,mg/g,mg/g,milligram per gram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_26216,CHEBI_33937,,,,,,,,,,,,,Leaf potassium content per leaf dry mass [TOP464] (https://top-thesaurus.org/index),,,,Leaf potassium (K) content per leaf dry mass [TRY:44] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,30
APD/0000032,leaf_Mg_per_dry_mass,Leaf magnesium (Mg) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of magnesium [CHEBI:25107] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.01,10000,mg/g,mg/g,milligram per gram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_25107,CHEBI_27027,,,,,,,,,,,,,Leaf magnesium content per leaf dry mass [TOP457] (https://top-thesaurus.org/index),,,,Leaf magnesium (Mg) content per leaf dry mass [TRY:257] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,32
APD/0000034,leaf_Mn_per_dry_mass,Leaf manganese (Mn) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of manganese [CHEBI:18291] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,20000,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_18291,CHEBI_27027,,,,,,,,,,,,,Leaf manganese content per leaf dry mass [TOP458] (https://top-thesaurus.org/index),,,,Leaf manganese (Mn) content per leaf dry mass [TRY:258] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,34
APD/0000036,leaf_Mo_per_dry_mass,Leaf molybdenum (Mo) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of molybdenum [CHEBI:28685] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0,100,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_28685,CHEBI_27027,,,,,,,,,,,,,Leaf molybdenum content per leaf dry mass [TOP459] (https://top-thesaurus.org/index),,,,Leaf molybdenum (Mo) content per leaf dry mass [TRY:259] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,36
APD/0000037,leaf_N_per_area,Leaf nitrogen (N) content per unit leaf area,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in a leaf [PO:0025034] to leaf area [PATO:0001323].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.15,50,g/m2,g/m2,gram per square metre,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,EnvThes:22003,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_25555,CHEBI_33937,,,,,,,,,,,,,Leaf nitrogen content per leaf area [TOP481] (https://top-thesaurus.org/index),,,,Leaf nitrogen (N) content per leaf area [TRY:50] (https://www.try-db.org/de/de.php),,,,,,,,,leaf nitrogen content per leaf area [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),,,,,,,,37
APD/0000038,leaf_N_per_dry_mass,Leaf nitrogen (N) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.5,100,mg/g,mg/g,milligram per gram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_25555,CHEBI_33937,,,,,,,,,,,,,Leaf nitrogen content per leaf dry mass [TOP462] (https://top-thesaurus.org/index),,,,Leaf nitrogen (N) content per leaf dry mass [TRY:14] (https://www.try-db.org/de/de.php),,,,,,,,,leaf nitrogen content per leaf dry mass [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),,,Mass-based leaf nitrogen content [BROT:7] (http://doi.org/10.1038/sdata.2018.135),,,,,38
APD/0000040,leaf_Na_per_dry_mass,Leaf sodium (Na) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of sodium [CHEBI:26708] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,20000,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_26708,CHEBI_27027,,,,,,,,,,,,,Leaf sodium content per leaf dry mass [TOP460] (https://top-thesaurus.org/index),,,,Leaf sodium (Na) content per leaf dry mass [TRY:260] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,40
APD/0000042,leaf_Ni_per_dry_mass,Leaf nickel (Ni) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of nickel [CHEBI:28112] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,100,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_28112,,,,,,,,,,,,,,Leaf nickel content per leaf dry mass [TOP461] (https://top-thesaurus.org/index),,,,Leaf nickel (Ni) content per leaf dry mass [TRY:261] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,42
APD/0000043,leaf_P_per_area,Leaf phosphorus (P) content per unit leaf area,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in a leaf [PO:0025034] to leaf area [PATO:0001323].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.005,1.2,g/m2,g/m2,gram per square metre,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,EnvThes:22003,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_28659,CHEBI_33937,,,,,,,,,,,,,Leaf phosphorus content per leaf area [TOP482] (https://top-thesaurus.org/index),,,,Leaf phosphorus (P) content per leaf area [TRY:51] (https://www.try-db.org/de/de.php),,,,,,,,,leaf phosphorus content per leaf area [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),,,,,,,,43
APD/0000044,leaf_P_per_dry_mass,Leaf phosphorus (P) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of phosphorus [CHEBI:28659] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.03,12,mg/g,mg/g,milligram per gram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_28659,CHEBI_33937,,,,,,,,,,,,,Leaf phosphorus content per leaf dry mass [TOP463] (https://top-thesaurus.org/index),,,,Leaf phosphorus (P) content per leaf dry mass [TRY:15] (https://www.try-db.org/de/de.php),,,,,,,,,leaf phosphorus content per leaf dry mass [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),,,,,,,,44
APD/0000046,leaf_S_per_dry_mass,Leaf sulphur (S) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of sulphur [CHEBI:26833] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,50,50000,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_26833,CHEBI_27027,,,,,,,,,,,,,Leaf sulfur content per leaf dry mass [TOP466] (https://top-thesaurus.org/index),,,,Leaf sulfur (S) content per leaf dry mass [TRY:262] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,46
APD/0000048,leaf_Se_per_dry_mass,Leaf selenium (Se) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of selenium [CHEBI:27568] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.01,100,ppm,ppm,parts per million,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_27568,,,,,,,,,,,,,,,,,,Leaf selenium (Se) content per leaf dry mass [TRY:263] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,48
APD/0000050,leaf_Si_per_dry_mass,Leaf silicon (Si) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of silicon [CHEBI:27573] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades. Leaf silicon (Si) must not be confused with leaf silica (SiO2). In plants, Si is mostly found as hydrated amorphous silica (SiO2 , nH2O).",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.01,200,mg/g,mg/g,milligram per gram,live leaf mineral and ion content trait,,,,14/07/2021,13/02/2023,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,Félix de Tombeur,,,,,,,,,,Cooke & Leishman 2011,de Tombeur 2023,,,,CHEBI_27573,,,,,,,,,,,,,,Leaf silicon content per leaf dry mass [TOP465] (https://top-thesaurus.org/index),,,,Leaf silicon (Si) content per leaf dry mass [TRY:264] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,50
APD/0000052,leaf_Zn_per_dry_mass,Leaf zinc (Zn) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of zinc [CHEBI:27363] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,1000,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_27363,CHEBI_27027,,,,,,,,,,,,,Leaf zinc content per leaf dry mass [TOP467] (https://top-thesaurus.org/index),,,,Leaf zinc (Zn) content per leaf dry mass [TRY:268] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,52
APD/0000090,leaf_CN_ratio,Leaf carbon to nitrogen ratio  (C/N),The ratio [PATO:0001470] of the mass [PATO:0000125] of carbon [CHEBI:27594] in a leaf [PO:0025034] to the mass of nitrogen [CHEBI:25555] in the leaf.,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,10,1000,g/g,g/g,gram per gram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,STATO_0000300,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_27594,CHEBI_33937,CHEBI_25555,,,,,,,,,,,,,,,,Leaf carbon/nitrogen (C/N) ratio [TRY:146] (https://www.try-db.org/de/de.php),,,,,,,,,leaf carbon content per leaf nitrogen content [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),,,,,,,,90
APD/0000091,leaf_NP_ratio,Leaf nitrogen to phosphorus ratio (N/P) per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of nitrogen [CHEBI:25555] in a leaf [PO:0025034] to the mass of phosphorus [CHEBI:28659] in the leaf.,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,100,g/g,g/g,gram per gram,live leaf mineral and ion content trait,,,,14/07/2021,,N_to_P_ratio,,PO_0025034,,,,PATO_0000125,STATO_0000300,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_25555,CHEBI_33937,CHEBI_28659,,,,,,,,,,,,,,,,Leaf nitrogen/phosphorus (N/P) ratio [TRY:56] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,91
APD/0000112,leaf_senesced_Al_per_dry_mass,Senesced leaf aluminium (Al) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of aluminium [CHEBI:28984] in a senescent [PATO:0001487] leaf [PO:0025034] (leaf litter [ENVO:01000628]) to the senescent leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.01,10,mg/g,mg/g,milligram per gram,senesced leaf mineral and ion content trait,,,,14/07/2021,,senesced_leaf_Al_per_dry_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_28984,PATO_0001487,ENVO_01000628,,,,,,,,,,,,Litter aluminium content per litter dry mass [TOP583] (https://top-thesaurus.org/index),,,,Litter aluminium (Al ) content per litter dry mass [TRY:987] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,112
APD/0000114,leaf_senesced_B_per_dry_mass,Senesced leaf boron (B) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of boron [CHEBI:27560] in a senescent [PATO:0001487] leaf [PO:0025034] (leaf litter [ENVO:01000628]) to the senescent leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.001,10,mg/g,mg/g,milligram per gram,senesced leaf mineral and ion content trait,,,,14/07/2021,,senesced_leaf_B_per_dry_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_27560,PATO_0001487,CHEBI_27027,ENVO_01000628,,,,,,,,,,,Litter boron content per litter dry mass [TOP584] (https://top-thesaurus.org/index),,,,,,,,,,,,,,,,,,,,,114
APD/0000116,leaf_senesced_C_per_dry_mass,Senesced leaf carbon (C) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of carbon [CHEBI:27594] in a senescent [PATO:0001487] leaf [PO:0025034] (leaf litter [ENVO:01000628]) to the senescent leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,10,100,g/g,g/g,gram per gram,senesced leaf mineral and ion content trait,,,,14/07/2021,,senesced_leaf_C_per_dry_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_27594,PATO_0001487,ENVO_01000628,,,,,,,,,,,,Litter carbon content per litter dry mass [TOP586] (https://top-thesaurus.org/index),,,,Litter carbon (C) content per litter dry mass [TRY:72] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,116
APD/0000118,leaf_senesced_Ca_per_dry_mass,Senesced leaf calcium (Ca) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in a senescent [PATO:0001487] leaf [PO:0025034] (leaf litter [ENVO:01000628]) to the senescent leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.01,1000,mg/g,mg/g,milligram per gram,senesced leaf mineral and ion content trait,,,,14/07/2021,,senesced_leaf_Ca_per_dry_mass,,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_22984,PATO_0001487,CHEBI_27027,ENVO_01000628,,,,,,,,,,,Litter calcium content per litter dry mass [TOP585] (https://top-thesaurus.org/index),,,,Litter (leaf) calcium (Ca) content per leaf litter dry mass [TRY:943] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,118
