identifier,label,description,trait_name
cotyledon_function_reserve,reserve,Cotyledons function as energy reserve organs.,cotyledon_function
cotyledon_position_cryptocotylar,cryptocotylar,A type of seed germination in which the cotyledons remain within the seed coat at germination.,cotyledon_position
cotyledon_position_phanerocotylar,phanerocotylar,A type of seed germination in which the cotyledons emerge from the seed coat.,cotyledon_position
cotyledon_hairs_glabrous,glabrous,Cotyledons lack hairs.,cotyledon_hairs
cotyledon_hairs_hairy,hairy,Cotyledons have hairs.,cotyledon_hairs
seedling_germination_location_epigeal,epigeal,Germinant with one or more cotyledons emerging aboveground.,seedling_germination_location
seedling_germination_location_hypogeal,hypogeal,Germinant with all cotyledons remaining belowground.,seedling_germination_location
dispersal_appendage_aril,aril,"Fleshy outgrowth of a seed, that often attracts animals like birds or ants.",dispersal_appendage
dispersal_appendage_bristles,bristles,"Bristle-like projections. Trait value includes awns, which are slender, bristle-like projections in some grasses.",dispersal_appendage
dispersal_appendage_bracts_and_glumes,bracts_and_glumes,"When the bracts below the inflorescence are persistent and functional as dispersal appendages. This includes persistent glumes, the modified membranous bracts in the family Poaceae that surround the spikelet of a grass.",dispersal_appendage
dispersal_appendage_elaiosome,elaiosome,Fleshy (often fatty) appendage on seeds that attracts ants.,dispersal_appendage
dispersal_appendage_fleshy_reward,fleshy_reward,Broad term that includes a suite of appendages that provides a fleshy reward to attract dispersers; highest level of resolution available for some studies.,dispersal_appendage
dispersal_appendage_floating_seed,floating_seed,Seed that is dispersed by floating on water.,dispersal_appendage
dispersal_appendage_flotation_scales,flotation_scales,"Scales enhancing flotation, thereby assisting with dispersal.",dispersal_appendage
dispersal_appendage_floral_parts,floral_parts,"When some plant floral parts (the petals, sepals, or style) are persistent and aid in seed and fruit dispersal. This is a broad term not explicitly suggesting a dispersal mechanism.",dispersal_appendage
dispersal_appendage_hairs,hairs,Modified hairs that aid in seed dispersal.,dispersal_appendage
dispersal_appendage_hooks,hooks,"A rear-facing point, as in a fish hook that aids in seed and fruit dispersal.",dispersal_appendage
dispersal_appendage_inflated_parts,inflated_parts,"When some part of the seed, fruit, or associated tissues is inflated, aiding in seed or fruit dispersal.",dispersal_appendage
dispersal_appendage_none,none,When a fruit and associated tissues lack any dispersal appendages. Includes exarillate and taxa with explicitly deciduous pappus.,dispersal_appendage
dispersal_appendage_pappus,pappus,"The calyx in Asteraceae that has been modified into bristles, hairs, scales or awns that are attached to the apex of the fruit. Taxa assigned this trait value have a persistent pappus that aids in dispersal, often, but not exclusively through wind dispersal. The pappus can also assist with flotation.",dispersal_appendage
dispersal_appendage_plumose,plumose,"Fruit, seed, style, or other floral component that is plumose and assists with dispersal.",dispersal_appendage
dispersal_appendage_receptacle,receptacle,Fleshy receptacle that aids in dispersal.,dispersal_appendage
dispersal_appendage_sarcotesta,sarcotesta,Fleshy seed coat that aids in dispersal.,dispersal_appendage
dispersal_appendage_spines,spines,Spines that aid in dispersal.,dispersal_appendage
dispersal_appendage_tumbleweed,tumbleweed,"Plant growth form, whereby the aboveground plant component detaches from the roots and is readily rolled by wind across the ground, aiding in dispersal.",dispersal_appendage
dispersal_appendage_wings,wings,Referring to wing-like seed extensions that aid in wind dispersal.,dispersal_appendage
dispersal_appendage_wing_or_plume,wing_or_plume,Broad term that includes a suite of appendages that aid in wind dispersal; highest level of resolution available for some studies.,dispersal_appendage
dispersal_syndrome_anemochory,anemochory,"Diaspore is dispersed by wind. (Synonyms, wind)",dispersal_syndrome
dispersal_syndrome_anthrochory,anthrochory,"Diaspore is dispersed by humans, either intentionally or unintentionally.",dispersal_syndrome
dispersal_syndrome_atelochory,atelochory,"Diaspore dispersal is prevented. (Synonyms, antitelochory)",dispersal_syndrome
dispersal_syndrome_autochory,autochory,Diaspore is dispersed by methods originating from the parent plant or diaspore.,dispersal_syndrome
dispersal_syndrome_ballistic,ballistic,Seeds are launched away from the plant by explosion as soon as the seed capsule opens.,dispersal_syndrome
dispersal_syndrome_barochory,barochory,"Diaspores are dispersed without assistance. (Synonyms, gravity, mobile, unassisted, passive)",dispersal_syndrome
dispersal_syndrome_chamaechory,chamaechory,Diaspore is dispersed by being rolled along ground surface by wind.,dispersal_syndrome
dispersal_syndrome_endozoochory,endozoochory,"Diaspore is ingested by animals, either intentionally or accidentally, then transported before being deposited. (Synonyms, ingestion)",dispersal_syndrome
dispersal_syndrome_epizoochory,epizoochory,"Diaspore is dispersed by accidentally attaching itself to the outside of an animal vector. (Synonyms, ectozoochory, exozoochory)",dispersal_syndrome
dispersal_syndrome_hydrochory,hydrochory,"Diaspore is dispersed on the surface of water. (Synonyms, water)",dispersal_syndrome
dispersal_syndrome_myrmecochory,myrmecochory,"Diaspores have elaiosomes (specialised nutritious appendages) that make them attractive for capture, transport and use by ants or related insects.",dispersal_syndrome
dispersal_syndrome_undefined,undefined,"Dispersal mechanism unknown. (Synonyms, unknown)",dispersal_syndrome
dispersal_syndrome_zoochory,zoochory,"Diaspore is dispersed by animals, by an undescribed mechanism.",dispersal_syndrome
dispersal_unit_fruit,fruit,Dispersal unit is a fruit.,dispersal_unit
dispersal_unit_seed,seed,Dispersal unit is a seed.,dispersal_unit
dispersal_unit_spore,spore,Dispersal unit is a spore.,dispersal_unit
dispersal_unit_seedling,seedling,"Dispersal unit is a seedling. (Synonyms, viviparous)",dispersal_unit
dispersers_indigenous_people,indigenous_people,Indigenous people disperse the fruit through traditional practices.,dispersers
dispersers_abiotic,abiotic,Fruits are dispersed by unspecified abiotic mechanisms.,dispersers
dispersers_ants,ants,Ants are an important fruit dispersal agent.,dispersers
dispersers_animals,animals,Animals are an important fruit dispersal agent.,dispersers
dispersers_bats,bats,Bats are an important fruit dispersal agent.,dispersers
dispersers_birds,birds,Birds are an important fruit dispersal agent.,dispersers
dispersers_cassowaries,cassowaries,"Cassowaries, in contrast to smaller flying birds, are an important fruit dispersal agent.",dispersers
dispersers_fish,fish,Fish are an important fruit dispersal agent.,dispersers
dispersers_floods,floods,Floods are an important fruit dispersal agent.,dispersers
dispersers_flying_vertebrates,flying_vertebrates,Flying birds and bats are important fruit dispersal agents.,dispersers
dispersers_flying_foxes,flying_foxes,Flying foxes are an important fruit dispersal agent.,dispersers
dispersers_garden_refuse,garden_refuse,Fruit are dispersed through garden refuse.,dispersers
dispersers_insects,insects,Insects are an important fruit dispersal agent.,dispersers
dispersers_invertebrates,invertebrates,Invertebrates are an important fruit dispersal agent.,dispersers
dispersers_mammals,mammals,Mammals are an important fruit dispersal agent.,dispersers
dispersers_mammals_domestic,mammals_domestic,Domesticated ammals are an important fruit dispersal agent.,dispersers
dispersers_non-flying_vertebrates,non-flying_vertebrates,"Mammals and non-flying birds (i.e. cassowary, emu) are important fruit dispersal agents.",dispersers
dispersers_passive,passive,There is no special dispersal agent.,dispersers
dispersers_rain,rain,Rain is an important fruit dispersal agent; the diaspore is propelled by action of rain on plant structure or the wetting of the plant structure by rain or dew.,dispersers
dispersers_rodents,rodents,Rodents are an important fruit dispersal agent.,dispersers
dispersers_vehicles,vehicles,"Vehicles are an important dispersal agent, such as through mud on tyres.",dispersers
dispersers_vertebrates,vertebrates,Vertebrates are an important fruit dispersal agent.,dispersers
dispersers_wind,wind,Wind is an important fruit dispersal agent.,dispersers
dispersers_water,water,Water is an important fruit dispersal agent.,dispersers
dispersers_water_currents,water_currents,Water currents are an important fruit dispersal agent; the diaspore may be either floating or submerged in fresh/saltwater currents.,dispersers
seed_dormancy_class_morphophysiological_dormancy,morphophysiological_dormancy,"Seeds exhibit morphophysiological dormancy, with both morphological and physiological dormancy mechanisms that must be overcome.",seed_dormancy_class
seed_dormancy_class_morphological_dormancy,morphological_dormancy,"Seeds exhibit morphological dormancy, generally because an underdeveloped embryo needs to grow.",seed_dormancy_class
seed_dormancy_class_non_dormant,non_dormant,Seeds are non-dormant.,seed_dormancy_class
seed_dormancy_class_physical_dormancy,physical_dormancy,"Seeds exhibit physical dormancy, due to one or more water-impermeable layers in the seed coat.",seed_dormancy_class
seed_dormancy_class_physiological_dormancy,physiological_dormancy,"Seeds exhibit physiological dormancy, whereby chemical changes are required within the seed to break dormancy, including temperature stratification and after-ripening.",seed_dormancy_class
embryo_colour_colourless,colourless,Colourless embryo.,embryo_colour
embryo_colour_green,green,Green embryo.,embryo_colour
fire_exposure_level_aquatic_taxon,aquatic_taxon,Plants rarely or never experience fires because they are aquatic.,fire_exposure_level
fire_exposure_level_fire_avoidance_among_rocks,fire_avoidance_among_rocks,Plants rarely experience fires because their habitat is restricted to rocky outcrops or rock pavement.,fire_exposure_level
fire_exposure_level_fire_avoidance_near_water,fire_avoidance_near_water,Plants rarely or never experience fires because their habitat is close to a body of water.,fire_exposure_level
fire_exposure_level_fire_avoidance_in_swamp,fire_avoidance_in_swamp,"Plants rarely experience fires because their habitat is usually saturated, but populations can be catastrophically impacted during severe droughts when the swamps dry out.",fire_exposure_level
fire_exposure_level_seasonal_fire_avoidance,seasonal_fire_avoidance,"Plants avoid fire by only have above-ground parts during seasons when fire is rare or absent, but populations can be catastrophically impacted if fire occurs during an atypical season.",fire_exposure_level
resprouting_capacity_fire_killed,fire_killed,"Fewer than 30% of plants resprout following a fire with 100% leaf scorch. (Synonym, fire-sensitive)",resprouting_capacity
resprouting_capacity_resprouts,resprouts,More than 70% of plants resprout following a fire with 100% leaf scorch.,resprouting_capacity
resprouting_capacity_partial_resprouting,partial_resprouting,Between 30-70% of plants resprout following a fire with 100% leaf scorch.,resprouting_capacity
resprouting_capacity_juvenile_juvenile_fire_killed,juvenile_fire_killed,Few to no juvenile plants resprout following fire with 100% leaf scorch.,resprouting_capacity_juvenile
resprouting_capacity_juvenile_juvenile_resprout,juvenile_resprout,More than 50% of juvenile plants survive and resprout following fire with 100% leaf scorch.,resprouting_capacity_juvenile
resprouting_capacity_juvenile_juvenile_moderate_fire_killed,juvenile_moderate_fire_killed,25-50% of juvenile plants resprout following fire with 100% leaf scorch.,resprouting_capacity_juvenile
seedling_establishment_conditions_establish_post_fire,establish_post_fire,Seedling establishment occurs following fire.,seedling_establishment_conditions
seedling_establishment_conditions_establish_post_disturbance,establish_post_disturbance,"Seedling establishment occurs following disturbances that increase light levels at the ground surface, but the type of disturbance is not documented.",seedling_establishment_conditions
seedling_establishment_conditions_establish_anytime,establish_anytime,"Seedlings can establish immediately following a disturbance and in later years as vegetation ages, right thru to mature and over-mature vegetation",seedling_establishment_conditions
seedling_establishment_conditions_establish_intermediate_to_mature_vegetation,establish_intermediate_to_mature_vegetation,"Seedlings require some environmental characteristics not found in vegetation straight after fires to establish, for they cannot establish within the first season or two after fire but can establish in older vegetation (including mature to over-mature vegetation).",seedling_establishment_conditions
post_fire_recruitment_post_fire_recruitment,post_fire_recruitment,Plants that germinate post-fire.,post_fire_recruitment
post_fire_recruitment_post_fire_recruitment_absent,post_fire_recruitment_absent,Plants that do not show increased seeding following fire.,post_fire_recruitment
post_fire_flowering_fire_dependent_flowering,fire_dependent_flowering,"Plants predominantly flower after a fire, usually within the first 1-4 growing seasons following the fire.",post_fire_flowering
post_fire_flowering_fire_enhanced_flowering,fire_enhanced_flowering,"Flowering is enhanced after a fire, with plants flowering more prolifically for the first 1-4 growing seasons following the fire.",post_fire_flowering
post_fire_flowering_fire_independent_flowering,fire_independent_flowering,"Flowering is independent of fire, with the magnitude of flowers produced by plants unchanged following a fire.",post_fire_flowering
post_fire_flowering_fire_suppressed_flowering,fire_suppressed_flowering,"Flowering is suppressed or absent after a fire, with plants producing fewer flowers for at least the first 1-4 growing seasons following the fire.",post_fire_flowering
plant_tolerance_fire_fire_retardant,fire_retardant,"Plants protected from fire by fire retardant in their bark, stems, or other tissues.",plant_tolerance_fire
plant_tolerance_fire_fire_retardant_bark,fire_retardant_bark,Plants protected from fire by fire retardant in their bark.,plant_tolerance_fire
plant_tolerance_fire_thick_bark,thick_bark,Plants protected from fire by thick bark.,plant_tolerance_fire
flower_colour_blue_purple,blue_purple,Flower colour is blue or purple.,flower_colour
flower_colour_green,green,Flower colour is green.,flower_colour
flower_colour_pink,pink,Flower colour is pink.,flower_colour
flower_colour_red_brown,red_brown,Flower colour is red or brown.,flower_colour
flower_colour_white_cream,white_cream,Flower colour is white or cream.,flower_colour
flower_colour_yellow_orange,yellow_orange,Flower colour is yellow or orange.,flower_colour
flower_colour_grey,grey,Flower colour is grey.,flower_colour
flower_colour_black,black,Flower colour is black.,flower_colour
perianth_colour_white,white,Perianth colour is white.,perianth_colour
perianth_colour_yellow,yellow,Perianth colour is yellow.,perianth_colour
perianth_colour_orange,orange,Perianth colour is orange.,perianth_colour
perianth_colour_red,red,Perianth colour is red.,perianth_colour
perianth_colour_pink,pink,Perianth colour is pink.,perianth_colour
perianth_colour_purple,purple,Perianth colour is purple.,perianth_colour
perianth_colour_blue,blue,Perianth colour is blue.,perianth_colour
perianth_colour_green,green,Perianth colour is green.,perianth_colour
perianth_colour_grey,grey,Perianth colour is grey.,perianth_colour
perianth_colour_brown,brown,Perianth colour is brown.,perianth_colour
perianth_colour_black,black,Perianth colour is black.,perianth_colour
flower_orientation_up,up,"Flower orientation is vertical, with the floral entrance pointing up.",flower_orientation
flower_orientation_lateral,lateral,"Flower orientation is horizontal, with the floral entrance perpendicular to main vertical axis.",flower_orientation
flower_orientation_down,down,"Flower orientation is pendant, with the floral entrance pointing down.",flower_orientation
flower_orientation_mixed,mixed,"Flower orientation is mixed, with different flowers exhibiting different orientations.",flower_orientation
flowering_cues_rain,rain,"Plants increase flowering in response to rain, but the time of year is not specified.",flowering_cues
flowering_cues_rain_obligate,rain_obligate,Plants only flower following rain events.,flowering_cues
flowering_cues_rain_all_year,rain_all_year,Plants increase flowering in response to rain at any time of the year.,flowering_cues
flowering_cues_rain_summer,rain_summer,Plants increase flowering in response to summer rains.,flowering_cues
flowering_cues_rain_autumn,rain_autumn,Plants increase flowering in response to autumn rains.,flowering_cues
flowering_cues_rain_winter,rain_winter,Plants increase flowering in response to winter rains.,flowering_cues
flowering_cues_rain_spring,rain_spring,Plants increase flowering in response to spring rains.,flowering_cues
flowering_cues_floods,floods,Plants increase flowering in response to floods.,flowering_cues
flowering_cues_fire,fire,Plants increase flowering in response to fires.,flowering_cues
flower_structural_sex_type_bisexual,bisexual,Hermaphrodite; flowers with both male and female reproductive organs.,flower_structural_sex_type
flower_structural_sex_type_incompletely_unisexual,incompletely_unisexual,Male flowers with pistillodes and/or female flowers with staminodes.,flower_structural_sex_type
flower_structural_sex_type_unisexual,unisexual,Flowers with either male or female reproductive organs.,flower_structural_sex_type
flower_ovary_position_inferior,inferior,"Flower with inferior ovary, where the ovary is embedded in the receptacle and therefore located below the insertion level of the remaining floral organs.",flower_ovary_position
flower_ovary_position_superior,superior,"Flower with superior ovary, where the ovary is positioned above the insertion level of the remaining floral organs.",flower_ovary_position
flower_ovary_position_half_inferior,half_inferior,Flower where the receptacle is surrounded by the ovary to its mid-level.,flower_ovary_position
flower_ovary_position_one_quarter_inferior,one_quarter_inferior,Flower where the receptacle surrounds up to one quarter of the ovary.,flower_ovary_position
flower_ovary_position_three_quarters_inferior,three_quarters_inferior,Flower where the receptacle surrounds more than three quarters of the ovary.,flower_ovary_position
flower_perianth_symmetry_actinomorphic_general,actinomorphic_general,Perianth displaying radial symmetry.,flower_perianth_symmetry
flower_perianth_symmetry_actinomorphic_rotational,actinomorphic_rotational,"Perianth that can be equally divided into three or more identical sections that, when rotated around the center of the flower by some number of degrees, exactly match each other in orientation and shape.",flower_perianth_symmetry
flower_perianth_symmetry_actinomorphic_strictly_polysymmetric,actinomorphic_strictly_polysymmetric,"Polysymmetry, with three or more planes of bilateral symmetry.",flower_perianth_symmetry
flower_perianth_symmetry_actinomorphic_spiral,actinomorphic_spiral,Perianth lacking a distinct plane of symmetry because their perianth parts are spirally arranged.,flower_perianth_symmetry
flower_perianth_symmetry_asymmetric,asymmetric,Perianth lacking any planes of symmetry.,flower_perianth_symmetry
flower_perianth_symmetry_disymmetric,disymmetric,Perianth with two orthogonal planes of bilateral symmetry.,flower_perianth_symmetry
flower_perianth_symmetry_zygomorphic,zygomorphic,"Monosymmetric, with a single plane of bilateral symmetry.",flower_perianth_symmetry
flower_perianth_phyllotaxis_irregular,irregular,Perianth parts lacking any symmetrical organisation.,flower_perianth_phyllotaxis
flower_perianth_phyllotaxis_spiral,spiral,"Perianth parts organised along a continuous spiral, usually with wide divergence angles more or less equal to 137.5 degrees, the Fibonacci 'golden angle'.",flower_perianth_phyllotaxis
flower_perianth_phyllotaxis_whorled,whorled,Perianth parts organised in one or more whorls.,flower_perianth_phyllotaxis
flower_perianth_differentiation_undifferentiated,undifferentiated,"Flower were all tepals are alike, including flowers with a single, undifferentiated whorl.",flower_perianth_differentiation
flower_perianth_differentiation_marked_differentiation_outer_sepaloid_inner_petaloid,marked_differentiation_outer_sepaloid_inner_petaloid,A typical flower with a distinct calyx and corolla.,flower_perianth_differentiation
flower_perianth_differentiation_marked_differentiation_among_petaloid_tepals,marked_differentiation_among_petaloid_tepals,"A flower with tepals that all resemble petals, but with marked differentiation between whorls of tepals.",flower_perianth_differentiation
flower_perianth_differentiation_marked_differentiation_among_sepaloid_tepals,marked_differentiation_among_sepaloid_tepals,"A flower with tepals that all resemble sepals, but with marked differentiation between whorls of tepals.",flower_perianth_differentiation
flower_perianth_differentiation_marked_differentiation,marked_differentiation,"A flower with marked differentiation between whorls, but without an indication if the perianth whorls are petals, sepals, or tepals.",flower_perianth_differentiation
flower_perianth_differentiation_continuous_differentiation_outer_sepaloid_inner_petaloid,continuous_differentiation_outer_sepaloid_inner_petaloid,"A flower with multiple whorls, where there is continuous differentiation between the outer sepaloid parts and the inner petaloid parts.",flower_perianth_differentiation
flower_perianth_differentiation_continuous_differentiation_among_petaloid_tepals,continuous_differentiation_among_petaloid_tepals,"A flower with series of tepals that all resemble petals, which display continuous, gradual differentiation between whorls.",flower_perianth_differentiation
flower_perianth_differentiation_continuous_differentiation_among_sepaloid_tepals,continuous_differentiation_among_sepaloid_tepals,"A flower with series of tepals that all resemble sepals, which display continuous, gradual differentiation between whorls.",flower_perianth_differentiation
flower_perianth_differentiation_weak_differentiation,weak_differentiation,"A flower with weak between whorls, but without an indication if the perianth whorls are petals, sepals, or tepals.",flower_perianth_differentiation
flower_perianth_differentiation_very_weak_differentiation,very_weak_differentiation,"A flower with very weak between whorls, but without an indication if the perianth whorls are petals, sepals, or tepals.",flower_perianth_differentiation
flower_filament_absent,absent,No filaments present,flower_filament
flower_filament_present_general,present_general,"Filaments present, with no specific defining characteristics.",flower_filament
flower_filament_long_and_narrow,long_and_narrow,"Filaments have a long and narrow shape. (Synonyms, filiform, slender)",flower_filament
flower_filament_short_and_narrow,short_and_narrow,Filaments have a short and narrow shape; subsessile anthers.,flower_filament
flower_filament_long_and_wide,long_and_wide,Filaments have a long and wide laminar shape.,flower_filament
flower_filament_short_and_wide,short_and_wide,Filaments have a short and wide laminar shape.,flower_filament
flower_filament_long_and_very_wide,long_and_very_wide,"Filaments have a long and very wide shape; for instance, the petal-like (outer) stamens of Nymphaea.",flower_filament
flower_filament_petaloid,petaloid,"Filaments are long and wide and colorful, e.g. Canna.",flower_filament
flower_filament_fused_into_synandrium,fused_into_synandrium,Filament structure formed when stamens fused together.,flower_filament
flower_filament_fused_into_fascicle_stalks,fused_into_fascicle_stalks,Special case where the stamens are fused into the stalk of a fascicle of flowers.,flower_filament
flower_filament_long_and_narrow_divided_in_two,long_and_narrow_divided_in_two,Filaments have a long and narrow shape that is divided in two; e.g. Adoxa.,flower_filament
flower_filament_short_general,short_general,Filament is short relative to the anther.,flower_filament
flower_anther_orientation_apical,apical,"When thecae are positioned in a transverse position at the tip of the connective and thus dehisce upward in the flower (e.g., Sinofranchetia, Endress and Hufford, 1989).",flower_anther_orientation
flower_anther_orientation_extrorse,extrorse,When the stomia of the thecae face the floral periphery.,flower_anther_orientation
flower_anther_orientation_introrse,introrse,When the stomia of the thecae face the floral centre.,flower_anther_orientation
flower_anther_orientation_latrorse,latrorse,"When pollen is released toward the side (i.e., toward neighbouring anthers).",flower_anther_orientation
flower_anther_attachment_basifixed,basifixed,Filament attached to the base of the connective. Laminar stamens are classified as basifixed.,flower_anther_attachment
flower_anther_attachment_dorsifixed,dorsifixed,Filament attached to the dorsal side of the anther.,flower_anther_attachment
flower_anther_attachment_dorsifixed_at_base,dorsifixed_at_base,"Filament attached to the dorsal side of the anther, at the base.",flower_anther_attachment
flower_anther_attachment_ventrifixed,ventrifixed,Filament attached to the ventral side of the anther.,flower_anther_attachment
flower_anther_dehiscence_longitudinal_slit,longitudinal_slit,Anther with longitudinal slits that extend along the entire length of each theca.,flower_anther_dehiscence
flower_anther_dehiscence_poricidal,poricidal,"Anther where dehiscence of longitudinal slits is incomplete, with pollen exiting via a small pore at the tip.",flower_anther_dehiscence
flower_anther_dehiscence_pores_many,pores_many,Anther with pollen exiting from many pores along its length.,flower_anther_dehiscence
flower_anther_dehiscence_h_valvate,h_valvate,"Anther with two valves on longitudinal hinges, opening horizontally as salon doors; when the stomium bifurcates at its distal and/or proximal end and thus a valve is formed.",flower_anther_dehiscence
flower_anther_dehiscence_flap_valvate,flap_valvate,"Anther with one or more flap-like valves on horizontal hinges, opening vertically.",flower_anther_dehiscence
flower_anther_dehiscence_transverse_slit,transverse_slit,Anther with horizontal slit.,flower_anther_dehiscence
flower_anther_dehiscence_short_basal_slits,short_basal_slits,Anther where dehiscence of longitudinal slits is incomplete and only occurs over a short extent at the base of the theca.,flower_anther_dehiscence
flower_anther_dehiscence_short_central_slits,short_central_slits,Anther where dehiscence of longitudinal slits is incomplete and only occurs over a short extent at the center of the theca.,flower_anther_dehiscence
flower_anther_dehiscence_short_apical_slits,short_apical_slits,Anther where dehiscence of longitudinal slits is incomplete and only occurs over a short extent at the apical end of the theca.,flower_anther_dehiscence
flower_anther_dehiscence_t_valvate,t_valvate,Anther with T-shaped stomium; reduced transverse slit at base.,flower_anther_dehiscence
flower_anther_dehiscence_common_stomium_confluent_thecae,common_stomium_confluent_thecae,The two thecae of a single anther are fused at one end with a single pore through which pollen exits.,flower_anther_dehiscence
flower_anther_dehiscence_circular,circular,Anther with a transverse slit that goes entirely around the anther.,flower_anther_dehiscence
flower_anther_connective_extension_absent,absent,Apical connective extensions are lacking.,flower_anther_connective_extension
flower_anther_connective_extension_short_extension,short_extension,Connective extension less than a third of the length of anther.,flower_anther_connective_extension
flower_anther_connective_extension_long_extension,long_extension,Connective extension more than a third but less than length of anther; e.g. Idiospermum australiense.,flower_anther_connective_extension
flower_anther_connective_extension_very_long_extension,very_long_extension,Connective extension more than length of anther; e.g. Galbulimima belgraveana.,flower_anther_connective_extension
flower_anther_connective_extension_present_general,present_general,Apical connective extensions are present but no information on their length relative to the anthers.,flower_anther_connective_extension
flower_androecium_structural_phyllotaxis_whorled,whorled,Stamens and staminodes arranged in whorls.,flower_androecium_structural_phyllotaxis
flower_androecium_structural_phyllotaxis_spiral,spiral,Stamens and staminodes have a spiral arrangement.,flower_androecium_structural_phyllotaxis
flower_androecium_structural_phyllotaxis_irregular,irregular,Stamens and staminodes have an irregular arrangement.,flower_androecium_structural_phyllotaxis
flower_gynoecium_phyllotaxis_one_whorl,one_whorl,Flowers with a single whorl of carpels.,flower_gynoecium_phyllotaxis
flower_gynoecium_phyllotaxis_two_or_more_whorls,two_or_more_whorls,Flowers with two or more whorls of carpels.,flower_gynoecium_phyllotaxis
flower_gynoecium_phyllotaxis_spiral,spiral,Flowers with carpels in a spiral arrangement.,flower_gynoecium_phyllotaxis
flower_style_differentiation_absent,absent,Stigma sessile.,flower_style_differentiation
flower_style_differentiation_present_length_and_shape_unknown,present_length_and_shape_unknown,Style present but shape unknown.,flower_style_differentiation
flower_style_differentiation_present_short_and_thick,present_short_and_thick,"Style present, and short and thick.",flower_style_differentiation
flower_style_differentiation_present_short_and_narrow,present_short_and_narrow,"Style present, and short and narrow, including short filiform styles.",flower_style_differentiation
flower_style_differentiation_present_long_and_wide,present_long_and_wide,"Style present, and long and wide.",flower_style_differentiation
flower_style_differentiation_present_long_and_narrow,present_long_and_narrow,"Style present, and long and narrow, including long filiform styles.",flower_style_differentiation
flower_style_differentiation_present_petaloid,present_petaloid,Style present and petaloid.,flower_style_differentiation
flower_style_differentiation_continuous,continuous,When the style is an apical extension of carpel with decurrent stigma.,flower_style_differentiation
flower_gynoecium_placentation_axile,axile,Ovules are placed in the angle between carpel flanks in the center of the ovary; in syncarpous gynoecia.,flower_gynoecium_placentation
flower_gynoecium_placentation_apical,apical,Ovules attach at the top of the ovary; pendulous; in syncarpous gynoecia and apocarpous and unicarpellate gynoecia.,flower_gynoecium_placentation
flower_gynoecium_placentation_basal,basal,Ovules attach at the base of the ovary; in syncarpous gynoecia and apocarpous and unicarpellate gynoecia.,flower_gynoecium_placentation
flower_gynoecium_placentation_parietal,parietal,Ovules attach to the ovary wall where two carpels meet; in syncarpous gynoecia.,flower_gynoecium_placentation
flower_gynoecium_placentation_marginal,marginal,Ovules attach along the ventral slit; in apocarpous and unicarpellate gynoecia.,flower_gynoecium_placentation
flower_gynoecium_placentation_free_central,free_central,Ovules are attached to a central column that emerges from the base of the ovary and protrudes into the non-septate ovary; in syncarpous gynoecia.,flower_gynoecium_placentation
flower_gynoecium_placentation_laminar,laminar,When there is more than one series of ovules at the flanks of a carpel; in syncarpous gynoecia and apocarpous and unicarpellate gynoecia.,flower_gynoecium_placentation
flower_pollen_aperture_shape_absent,absent,Pollen that lacks an aperture.,flower_pollen_aperture_shape
flower_pollen_aperture_shape_colporus,colporus,Pollen aperture shape that combines the groove of colpate and the pore of porate apertures.,flower_pollen_aperture_shape
