Subject,Predicate,Object
<https://github.com/traitecoevo/APD/0011902>,<http://purl.org/dc/terms/description>,'A stem morphology trait [TO:0000361] which is the mass [PATO:0000125] of a stem [PO:0009047].'@en
<https://github.com/traitecoevo/APD/0011902>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011802>
<https://github.com/traitecoevo/APD/0012002>,<http://www.w3.org/2000/01/rdf-schema#label>,'bark morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0012002>,<http://purl.org/dc/terms/description>,'A plant structure morphology trait [TO:0000736] which is a quality of bark [PO:0004518].'@en
<https://github.com/traitecoevo/APD/0012002>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011001>
<https://github.com/traitecoevo/APD/0012006>,<http://www.w3.org/2000/01/rdf-schema#label>,'bark mass trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0012006>,<http://purl.org/dc/terms/description>,'A bark morphology trait which is the mass of bark.'@en
<https://github.com/traitecoevo/APD/0012006>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0012002>
<https://github.com/traitecoevo/APD/0012102>,<http://www.w3.org/2000/01/rdf-schema#label>,'root system morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0012102>,<http://purl.org/dc/terms/description>,'A collective plant organ structure morphology trait [TO:0000842] which is a quality of a root system [PO:0025025].'@en
<https://github.com/traitecoevo/APD/0012102>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011001>
<https://github.com/traitecoevo/APD/0012102>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000985>
<https://github.com/traitecoevo/APD/0012104>,<http://www.w3.org/2000/01/rdf-schema#label>,'root morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0012104>,<http://purl.org/dc/terms/description>,'A plant axis morphology trait [TO:0000738] which is a quality of a root [PO:0025025].'@en
<https://github.com/traitecoevo/APD/0012104>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0012102>
<https://github.com/traitecoevo/APD/0012104>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000043>
<https://github.com/traitecoevo/APD/0012106>,<http://www.w3.org/2000/01/rdf-schema#label>,'root mass trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0012106>,<http://purl.org/dc/terms/description>,'A root morphology trait [TO:0000043] which is the weight of a root [PO:0009005].'@en
<https://github.com/traitecoevo/APD/0012106>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0012102>
<https://github.com/traitecoevo/APD/0012108>,<http://www.w3.org/2000/01/rdf-schema#label>,'root branchiness trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0012108>,<http://purl.org/dc/terms/description>,'A root system morphology trait [TO:0000985] which is the branchiness [PATO:0002009] of the root system [PO:0025025].'@en
<https://github.com/traitecoevo/APD/0012108>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0012102>
<https://github.com/traitecoevo/APD/0012202>,<http://www.w3.org/2000/01/rdf-schema#label>,'reproductive shoot system morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0012202>,<http://purl.org/dc/terms/description>,'A shoot system morphology trait [TO:0000077] that is a quality of a reproductive shoot system [PO:0025082].'@en
<https://github.com/traitecoevo/APD/0012202>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011001>
<https://github.com/traitecoevo/APD/0012202>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000786>
<https://github.com/traitecoevo/APD/0012404>,<http://www.w3.org/2000/01/rdf-schema#label>,'floral organ morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0012404>,<http://purl.org/dc/terms/description>,'A plant organ morphology trait [TO:0000736] which is a quality of a floral organ [PO:0025395].'@en
<https://github.com/traitecoevo/APD/0012404>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0012202>
<https://github.com/traitecoevo/APD/0012406>,<http://www.w3.org/2000/01/rdf-schema#label>,'perianth morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0012406>,<http://purl.org/dc/terms/description>,'A collective phyllome structure morphology trait [TO:0000845] which is a quality of a perianth [PO:0009058].'@en
<https://github.com/traitecoevo/APD/0012406>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0012404>
<https://github.com/traitecoevo/APD/0012406>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000275>
<https://github.com/traitecoevo/APD/0012408>,<http://www.w3.org/2000/01/rdf-schema#label>,'androecium morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0012408>,<http://purl.org/dc/terms/description>,'A collective phyllome structure morphology trait [TO:0000845] that is a quality of the androecium [PO:0009061].'@en
<https://github.com/traitecoevo/APD/0012408>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0012404>
<https://github.com/traitecoevo/APD/0012408>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000994>
<https://github.com/traitecoevo/APD/0012409>,<http://www.w3.org/2000/01/rdf-schema#label>,'gynoecium morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0012409>,<http://purl.org/dc/terms/description>,'A collective phyllome structure morphology trait [TO:0000845] that is a quality of the gynoecium [PO:0009062].'@en
<https://github.com/traitecoevo/APD/0012409>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0012404>
<https://github.com/traitecoevo/APD/0012504>,<http://www.w3.org/2000/01/rdf-schema#label>,'fruit morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0012504>,<http://purl.org/dc/terms/description>,'A multi-tissue plant structure morphology trait [TO:0000836] which is a quality of a fruit [PO:0009001].'@en
<https://github.com/traitecoevo/APD/0012504>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0012202>
<https://github.com/traitecoevo/APD/0012504>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0002629>
<https://github.com/traitecoevo/APD/0012604>,<http://www.w3.org/2000/01/rdf-schema#label>,'seed morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0012604>,<http://purl.org/dc/terms/description>,'A multi-tissue plant structure morphology trait [TO:0000836] which is a quality of a seed [PO:0009010].'@en
<https://github.com/traitecoevo/APD/0012604>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0012202>
<https://github.com/traitecoevo/APD/0012604>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000184>
<https://github.com/traitecoevo/APD/0013001>,<http://www.w3.org/2000/01/rdf-schema#label>,'vascular tissue morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0013001>,<http://purl.org/dc/terms/description>,'NA'@en
<https://github.com/traitecoevo/APD/0013001>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0010001>
<https://github.com/traitecoevo/APD/0013001>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000470>
<https://github.com/traitecoevo/APD/0013006>,<http://www.w3.org/2000/01/rdf-schema#label>,'leaf vein morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0013006>,<http://purl.org/dc/terms/description>,'A vascular leaf morphology trait [TO:0000419] which is a quality of a leaf lamina vein [PO:0020138].'@en
<https://github.com/traitecoevo/APD/0013006>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0013001>
<https://github.com/traitecoevo/APD/0013006>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000820>
<https://github.com/traitecoevo/APD/0013102>,<http://www.w3.org/2000/01/rdf-schema#label>,'xylem vessel morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0013102>,<http://purl.org/dc/terms/description>,'A vascular tissue morphology trait [TO:0000470] which is a quality of a xylem vessel [PO:0025417].'@en
<https://github.com/traitecoevo/APD/0013102>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0013001>
<https://github.com/traitecoevo/APD/0014001>,<http://www.w3.org/2000/01/rdf-schema#label>,'plant structure strength trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0014001>,<http://purl.org/dc/terms/description>,'A plant structure morphology trait [TO:0000736] pertaining to the strength [PATO:0001230] of a plant structure [PO:0009011] and often indicating the amount of work [PATO:0001026] required to break or deform the plant structure.'@en
<https://github.com/traitecoevo/APD/0014001>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0010001>
<https://github.com/traitecoevo/APD/0020001>,<http://www.w3.org/2000/01/rdf-schema#label>,"'biological process trait, physiological process trait'^^[xsd:string]"
